nohup: ignoring input
目前的混合精度设置: bf16
🚀 Training RAE ControlNet on cuda
Initializing Base Model from Config...
Indexing 3 safetensors files...
Loading latent stats from cache...
📊 检查 Time Dist Shift: 6.9282
Start Training...
Epoch 8 | Step 3450 | Loss: 0.6495
Epoch 8 | Step 3460 | Loss: 0.8264
Epoch 8 | Step 3470 | Loss: 0.8301
Epoch 8 | Step 3480 | Loss: 0.6949
Epoch 8 | Step 3490 | Loss: 0.8333
Epoch 8 | Step 3500 | Loss: 0.6868
Epoch 8 | Step 3510 | Loss: 0.6582
Epoch 8 | Step 3520 | Loss: 0.6557
Epoch 8 | Step 3530 | Loss: 0.5250
Epoch 8 | Step 3540 | Loss: 0.6293
Epoch 8 | Step 3550 | Loss: 0.6017
Epoch 8 | Step 3560 | Loss: 0.4809
Epoch 8 | Step 3570 | Loss: 0.5140
Epoch 8 | Step 3580 | Loss: 0.6440
Epoch 8 | Step 3590 | Loss: 0.7299
Epoch 8 | Step 3600 | Loss: 0.5344
Epoch 9 | Step 3610 | Loss: 0.6100
Epoch 9 | Step 3620 | Loss: 0.5142
Epoch 9 | Step 3630 | Loss: 0.6513
Epoch 9 | Step 3640 | Loss: 0.4736
Epoch 9 | Step 3650 | Loss: 0.5012
Epoch 9 | Step 3660 | Loss: 0.7224
Epoch 9 | Step 3670 | Loss: 0.5268
Epoch 9 | Step 3680 | Loss: 0.6953
Epoch 9 | Step 3690 | Loss: 0.6159
Epoch 9 | Step 3700 | Loss: 0.5748
Epoch 9 | Step 3710 | Loss: 0.7083
Epoch 9 | Step 3720 | Loss: 0.5815
Epoch 9 | Step 3730 | Loss: 0.6979
Epoch 9 | Step 3740 | Loss: 0.6077
Epoch 9 | Step 3750 | Loss: 0.6611
Epoch 9 | Step 3760 | Loss: 0.6460
Epoch 9 | Step 3770 | Loss: 0.6296
Epoch 9 | Step 3780 | Loss: 0.4891
Epoch 9 | Step 3790 | Loss: 0.7878
Epoch 9 | Step 3800 | Loss: 0.5152
Epoch 9 | Step 3810 | Loss: 0.6528
Epoch 9 | Step 3820 | Loss: 0.6221
Epoch 9 | Step 3830 | Loss: 0.6403
Epoch 9 | Step 3840 | Loss: 0.7156
Epoch 9 | Step 3850 | Loss: 0.7077
Epoch 9 | Step 3860 | Loss: 0.5054
Epoch 9 | Step 3870 | Loss: 0.6771
Epoch 9 | Step 3880 | Loss: 0.5418
Epoch 9 | Step 3890 | Loss: 0.5884
Epoch 9 | Step 3900 | Loss: 0.5197
Epoch 9 | Step 3910 | Loss: 0.5565
Epoch 9 | Step 3920 | Loss: 0.6632
Epoch 9 | Step 3930 | Loss: 0.7078
Epoch 9 | Step 3940 | Loss: 0.5965
Epoch 9 | Step 3950 | Loss: 0.5193
Epoch 9 | Step 3960 | Loss: 0.7601
Epoch 9 | Step 3970 | Loss: 0.8512
Epoch 9 | Step 3980 | Loss: 0.5956
Epoch 9 | Step 3990 | Loss: 0.6448
Epoch 9 | Step 4000 | Loss: 0.7009
Epoch 9 | Step 4010 | Loss: 0.5872
Epoch 10 | Step 4020 | Loss: 0.5447
Epoch 10 | Step 4030 | Loss: 0.6011
Epoch 10 | Step 4040 | Loss: 0.7021
Epoch 10 | Step 4050 | Loss: 0.6053
Epoch 10 | Step 4060 | Loss: 0.6369
Epoch 10 | Step 4070 | Loss: 0.7534
Epoch 10 | Step 4080 | Loss: 0.7242
Epoch 10 | Step 4090 | Loss: 0.5819
Epoch 10 | Step 4100 | Loss: 0.6567
Epoch 10 | Step 4110 | Loss: 0.5732
Epoch 10 | Step 4120 | Loss: 0.6073
Epoch 10 | Step 4130 | Loss: 0.4563
Epoch 10 | Step 4140 | Loss: 0.4829
Epoch 10 | Step 4150 | Loss: 0.5636
Epoch 10 | Step 4160 | Loss: 0.6137
Epoch 10 | Step 4170 | Loss: 0.5479
Epoch 10 | Step 4180 | Loss: 0.6473
Epoch 10 | Step 4190 | Loss: 0.6444
Epoch 10 | Step 4200 | Loss: 0.6235
Epoch 10 | Step 4210 | Loss: 0.6644
Epoch 10 | Step 4220 | Loss: 0.4968
Epoch 10 | Step 4230 | Loss: 0.5195
Epoch 10 | Step 4240 | Loss: 0.6050
Epoch 10 | Step 4250 | Loss: 0.5462
Epoch 10 | Step 4260 | Loss: 0.8697
Epoch 10 | Step 4270 | Loss: 0.6309
Epoch 10 | Step 4280 | Loss: 0.6791
Epoch 10 | Step 4290 | Loss: 0.6745
Epoch 10 | Step 4300 | Loss: 0.7598
Epoch 10 | Step 4310 | Loss: 0.8946
Epoch 10 | Step 4320 | Loss: 0.6157
Epoch 10 | Step 4330 | Loss: 0.5411
Epoch 10 | Step 4340 | Loss: 0.5564
Epoch 10 | Step 4350 | Loss: 0.6098
Epoch 10 | Step 4360 | Loss: 0.6836
Epoch 10 | Step 4370 | Loss: 0.4380
Epoch 10 | Step 4380 | Loss: 0.7325
Epoch 10 | Step 4390 | Loss: 0.5699
Epoch 10 | Step 4400 | Loss: 0.7930
Epoch 10 | Step 4410 | Loss: 0.5518
Epoch 11 | Step 4420 | Loss: 0.6075
Epoch 11 | Step 4430 | Loss: 0.7410
Epoch 11 | Step 4440 | Loss: 0.5205
Epoch 11 | Step 4450 | Loss: 0.6436
